,FA_20240108_2H_yeast_1.7.ser#1,FA_20240108_2H_yeast_1.7.ser#2,FA_20240108_2H_yeast_1.7.ser#3,FA_20240108_2H_yeast_1.7.ser#4,FA_20240108_2H_yeast_1.7.ser#5,FA_20240108_2H_yeast_1.7.ser#6,FA_20240108_2H_yeast_1.7.ser#7,FA_20240108_2H_yeast_1.7.ser#8,FA_20240108_2H_yeast_1.7.ser#9,FA_20240108_2H_yeast_1.7.ser#10,FA_20240108_2H_yeast_1.7.ser#11,FA_20240108_2H_yeast_1.7.ser#12,FA_20240108_2H_yeast_1.7.ser#13,FA_20240108_2H_yeast_1.7.ser#14,FA_20240108_2H_yeast_1.7.ser#15,FA_20240108_2H_yeast_1.7.ser#16,FA_20240108_2H_yeast_1.7.ser#17,FA_20240108_2H_yeast_1.7.ser#18,FA_20240108_2H_yeast_1.7.ser#19,FA_20240108_2H_yeast_1.7.ser#20,FA_20240108_2H_yeast_1.7.ser#21,FA_20240108_2H_yeast_1.7.ser#22,FA_20240108_2H_yeast_1.7.ser#23,FA_20240108_2H_yeast_1.7.ser#24,FA_20240108_2H_yeast_1.7.ser#25,FA_20240108_2H_yeast_1.7.ser#26,FA_20240108_2H_yeast_1.7.ser#27,FA_20240108_2H_yeast_1.7.ser#28,FA_20240108_2H_yeast_1.7.ser#29,FA_20240108_2H_yeast_1.7.ser#30,FA_20240108_2H_yeast_1.7.ser#31,FA_20240108_2H_yeast_1.7.ser#32,FA_20240108_2H_yeast_1.7.ser#33,FA_20240108_2H_yeast_1.7.ser#34,FA_20240108_2H_yeast_1.7.ser#35,FA_20240108_2H_yeast_1.7.ser#36,FA_20240108_2H_yeast_1.7.ser#37,FA_20240108_2H_yeast_1.7.ser#38,FA_20240108_2H_yeast_1.7.ser#39,FA_20240108_2H_yeast_1.7.ser#40
7.30643,287.779,576.031,-584.328,-288.537,-107.338,-213.857,-256.115,192.135,-255.201,-117.408,-213.137,-618.311,473.407,98.6547,583.442,61.2814,204.062,214.310,-74.3839,-26.1423,-122.401,48.8779,331.392,257.611,-74.5958,210.792,-525.351,-163.830,155.258,263.514,-109.156,290.760,84.6476,-494.893,-136.625,124.796,-155.673,507.553,337.379,296.541
7.31458,243.411,484.519,-508.592,-254.952,-94.7982,-181.251,-342.835,97.8562,-308.909,-112.599,-164.646,-602.068,484.876,207.899,526.752,183.027,154.693,249.752,-11.4614,-38.2251,-152.843,59.5485,455.522,251.002,-65.3656,192.901,-484.256,-85.9406,215.754,307.224,-31.2833,310.967,41.4720,-431.036,-87.0410,151.801,-210.690,416.112,254.114,241.298
7.32272,199.043,393.007,-432.855,-221.367,-82.2586,-148.645,-429.555,3.57788,-362.618,-107.790,-116.156,-585.825,496.345,317.143,470.061,304.772,105.324,285.195,51.4609,-50.3080,-183.286,70.2191,579.652,244.393,-56.1354,175.009,-443.161,-8.05139,276.250,350.933,46.5896,331.174,-1.70337,-367.178,-37.4569,178.806,-265.707,324.670,170.849,186.054
7.33087,78.1522,301.495,-454.549,-253.394,-18.1093,-116.039,-416.274,-18.4701,-385.101,-70.5842,-67.6650,-435.447,372.942,426.387,413.371,393.572,55.9550,320.638,41.8009,12.0160,-213.728,111.583,669.941,290.989,5.02716,157.118,-369.630,164.338,257.846,394.642,124.463,319.902,6.96411,-202.582,12.1271,240.205,-243.700,328.344,56.1606,130.810
7.33901,-42.7388,209.984,-476.242,-285.420,46.0402,-83.4325,-402.992,-40.5182,-407.585,-33.3782,-19.1746,-285.069,249.538,535.631,356.681,482.372,6.58569,356.080,32.1407,74.3400,-244.170,152.947,760.229,337.586,66.1899,139.227,-296.099,336.728,239.442,438.351,202.335,308.630,15.6316,-37.9863,61.7112,301.604,-221.693,332.018,-58.5278,75.5668
7.34716,-187.543,75.9940,-466.812,-354.190,96.6420,-107.157,-422.350,-53.5374,-301.266,-58.2666,33.0341,-213.366,112.518,443.320,344.512,513.516,-92.8109,325.981,-31.3083,109.426,-178.925,175.127,777.899,381.522,110.474,129.475,-192.833,464.493,174.543,370.411,209.992,296.703,34.6676,55.2533,-50.8334,398.473,-154.985,415.616,-99.8942,120.324
7.35530,-332.348,-57.9955,-457.382,-422.959,147.244,-130.882,-441.708,-66.5565,-194.947,-83.1549,85.2427,-141.664,-24.5020,351.008,332.343,544.660,-192.208,295.881,-94.7573,144.512,-113.679,197.308,795.569,425.458,154.759,119.724,-89.5684,592.257,109.643,302.472,217.650,284.775,53.7037,148.493,-163.378,495.341,-88.2763,499.214,-141.261,165.081
7.36345,-335.038,-99.3065,-393.824,-418.243,84.3040,-103.396,-461.066,-79.5757,-119.853,-162.038,159.760,-121.552,-5.90027,258.697,288.279,608.750,-291.604,163.194,-158.206,179.597,-16.5375,270.644,813.239,437.471,250.976,77.4124,46.1333,625.521,-11.6133,267.410,119.983,325.313,103.846,163.381,-275.922,534.885,11.4427,551.107,-245.475,209.838
7.37159,-337.728,-140.618,-330.267,-413.527,21.3643,-75.9110,-480.424,-92.5949,-44.7588,-240.922,234.277,-101.439,12.7014,166.385,244.214,672.840,-391.001,30.5065,-221.655,214.683,80.6041,343.979,830.908,449.484,347.193,35.1006,181.835,658.785,-132.870,232.349,22.3157,365.850,153.988,178.268,-388.467,574.430,111.162,603.000,-349.688,254.595
7.37974,-215.129,-105.662,-354.962,-369.280,-5.32776,-93.3143,-437.693,-62.8080,-71.5927,-292.555,277.229,-61.3358,-3.10400,166.508,213.564,611.796,-384.171,-37.2621,-214.911,225.022,92.7728,430.344,754.919,395.696,425.274,-41.5524,249.453,635.037,-278.299,191.914,-64.7686,393.845,179.058,217.379,-448.014,518.405,185.263,522.002,-460.899,208.621
